Inicio del log de la simulación
Añadido: 83. || Tamaño de cola: 1 || Capacidad: 50
Añadido: 86. || Tamaño de cola: 2 || Capacidad: 50
Añadido: 77. || Tamaño de cola: 3 || Capacidad: 50
Añadido: 15. || Tamaño de cola: 4 || Capacidad: 50
Añadido: 93. || Tamaño de cola: 5 || Capacidad: 50
Añadido: 35. || Tamaño de cola: 6 || Capacidad: 50
Añadido: 86. || Tamaño de cola: 7 || Capacidad: 50
Añadido: 92. || Tamaño de cola: 8 || Capacidad: 50
Añadido: 49. || Tamaño de cola: 9 || Capacidad: 50
Añadido: 21. || Tamaño de cola: 10 || Capacidad: 50
Añadido: 62. || Tamaño de cola: 11 || Capacidad: 50
Añadido: 27. || Tamaño de cola: 12 || Capacidad: 50
Añadido: 90. || Tamaño de cola: 13 || Capacidad: 50
Añadido: 59. || Tamaño de cola: 14 || Capacidad: 50
Añadido: 63. || Tamaño de cola: 15 || Capacidad: 50
Consumido: 83. || Tamaño de cola: 14 || Capacidad: 50
Añadido: 26. || Tamaño de cola: 15 || Capacidad: 50
Consumido: 86. || Tamaño de cola: 14 || Capacidad: 50
Añadido: 40. || Tamaño de cola: 15 || Capacidad: 50
Añadido: 26. || Tamaño de cola: 16 || Capacidad: 50
Añadido: 72. || Tamaño de cola: 17 || Capacidad: 50
Añadido: 36. || Tamaño de cola: 18 || Capacidad: 50
Añadido: 11. || Tamaño de cola: 19 || Capacidad: 50
Añadido: 68. || Tamaño de cola: 20 || Capacidad: 50
Añadido: 67. || Tamaño de cola: 21 || Capacidad: 50
Añadido: 29. || Tamaño de cola: 22 || Capacidad: 50
Añadido: 82. || Tamaño de cola: 23 || Capacidad: 50
Añadido: 30. || Tamaño de cola: 24 || Capacidad: 50
Añadido: 62. || Tamaño de cola: 25 || Capacidad: 50
Añadido: 23. || Tamaño de cola: 26 || Capacidad: 50
Añadido: 67. || Tamaño de cola: 27 || Capacidad: 50
Añadido: 35. || Tamaño de cola: 28 || Capacidad: 50
Añadido: 29. || Tamaño de cola: 29 || Capacidad: 50
Añadido: 2. || Tamaño de cola: 30 || Capacidad: 50
Añadido: 22. || Tamaño de cola: 31 || Capacidad: 50
Añadido: 58. || Tamaño de cola: 32 || Capacidad: 50
Añadido: 69. || Tamaño de cola: 33 || Capacidad: 50
Añadido: 67. || Tamaño de cola: 34 || Capacidad: 50
Añadido: 93. || Tamaño de cola: 35 || Capacidad: 50
Añadido: 56. || Tamaño de cola: 36 || Capacidad: 50
Añadido: 11. || Tamaño de cola: 37 || Capacidad: 50
Añadido: 42. || Tamaño de cola: 38 || Capacidad: 50
Añadido: 29. || Tamaño de cola: 39 || Capacidad: 50
Añadido: 73. || Tamaño de cola: 40 || Capacidad: 50
Añadido: 21. || Tamaño de cola: 41 || Capacidad: 50
Añadido: 19. || Tamaño de cola: 42 || Capacidad: 50
Añadido: 84. || Tamaño de cola: 43 || Capacidad: 50
Añadido: 37. || Tamaño de cola: 44 || Capacidad: 50
Añadido: 98. || Tamaño de cola: 45 || Capacidad: 50
Añadido: 24. || Tamaño de cola: 46 || Capacidad: 50
Añadido: 15. || Tamaño de cola: 47 || Capacidad: 50
Añadido: 70. || Tamaño de cola: 48 || Capacidad: 50
Añadido: 13. || Tamaño de cola: 49 || Capacidad: 50
La cola ha sido duplicada a capacidad: 100
Añadido: 26. || Tamaño de cola: 50 || Capacidad: 100
Añadido: 91. || Tamaño de cola: 51 || Capacidad: 100
Añadido: 80. || Tamaño de cola: 52 || Capacidad: 100
Añadido: 56. || Tamaño de cola: 53 || Capacidad: 100
Consumido: 13. || Tamaño de cola: 52 || Capacidad: 100
Añadido: 73. || Tamaño de cola: 53 || Capacidad: 100
Consumido: 26. || Tamaño de cola: 52 || Capacidad: 100
Añadido: 62. || Tamaño de cola: 53 || Capacidad: 100
Añadido: 70. || Tamaño de cola: 54 || Capacidad: 100
Añadido: 96. || Tamaño de cola: 55 || Capacidad: 100
Añadido: 81. || Tamaño de cola: 56 || Capacidad: 100
Añadido: 5. || Tamaño de cola: 57 || Capacidad: 100
Consumido: 77. || Tamaño de cola: 56 || Capacidad: 100
Añadido: 25. || Tamaño de cola: 57 || Capacidad: 100
Añadido: 84. || Tamaño de cola: 58 || Capacidad: 100
Añadido: 27. || Tamaño de cola: 59 || Capacidad: 100
Añadido: 36. || Tamaño de cola: 60 || Capacidad: 100
Añadido: 5. || Tamaño de cola: 61 || Capacidad: 100
Añadido: 46. || Tamaño de cola: 62 || Capacidad: 100
Añadido: 29. || Tamaño de cola: 63 || Capacidad: 100
Añadido: 13. || Tamaño de cola: 64 || Capacidad: 100
Añadido: 57. || Tamaño de cola: 65 || Capacidad: 100
Añadido: 24. || Tamaño de cola: 66 || Capacidad: 100
Añadido: 95. || Tamaño de cola: 67 || Capacidad: 100
Añadido: 82. || Tamaño de cola: 68 || Capacidad: 100
Añadido: 45. || Tamaño de cola: 69 || Capacidad: 100
